,Name,Total Enrollment,Free lunch eligible1,Reduced-price lunch eligible1,Directly certified2
174,Summit Hall Elementary,702,451,105,202
175,Takoma Park Elementary,613,130,36,50
176,Takoma Park Middle School,"1,162",231,73,101
177,Thomas Edison High School of Technology,0,–,–,–
178,Thomas S. Wootton High,"2,116",84,27,41
179,Thomas W. Pyle Middle School,"1,534",20,5,9
180,Thurgood Marshall Elementary,621,170,35,97
181,Tilden Middle School,989,98,44,42
182,Travilah Elementary,341,17,7,8
183,Twinbrook Elementary,558,311,70,115
184,Viers Mill Elementary,579,329,55,80
185,Walt Whitman High,"2,039",41,5,17
186,Walter Johnson High,"2,747",146,67,82
187,Washington Grove Elementary,462,242,69,115
188,Waters Landing Elementary,659,270,66,159
189,Watkins Mill Elementary,731,429,86,226
190,Watkins Mill High,"1,590",653,142,300
191,Wayside Elementary,500,18,11,8
192,Weller Road Elementary,747,445,149,111
193,Westbrook Elementary,341,5,0,3
194,Westland Middle,808,42,19,21
195,Westover Elementary,316,51,27,15
196,Wheaton High,"2,179",739,282,181
197,Wheaton Woods Elementary,503,317,88,110
198,Whetstone Elementary,742,400,121,181
199,White Oak Middle,845,439,97,144
200,William B. Gibbs Jr. Elementary,621,157,43,109
201,William H. Farquhar Middle,694,73,28,31
202,William Tyler Page Elementary,615,183,67,81
203,Wilson Wims Elementary School,767,55,16,34
204,Winston Churchill High,"2,274",77,21,47
205,Wood Acres Elementary,649,8,2,4
206,Woodfield Elementary,355,62,9,43
207,Woodlin Elementary,553,96,28,51
208,Wyngate Elementary,741,14,5,7
