Agency,Department,Name,Address,Location
MCG,MCPD,1st District Police Station,"4823 Rugby Ave, Bethesda, MD 20814",POINT (-77.097907 38.991126)
MCG,CAO/CEX/CC/Courts,County Offices - EOB,"101 Monroe Street, Rockville, MD 20850",POINT (-77.148966 39.082836)
MCG,MCPD,6Th District Police Station,"45-A West Watkins Mill Road, Gaithersburg, Md",POINT (-77.232545 39.149654)
MCG,DOT,PSHQ Building,"100 Edison Park Road, Gaithersburg, Md",POINT (-77.236469 39.113526)
MCG,PIO/PublicSafety,Public Safety Training Academy,"8751 Snouffer School Road Gaithersburg, MD. 20879",POINT (-77.179041 39.176704)
MCG,FRS,F&RS,"801 Russell Ave., Gaithersburg, MD 20879",POINT (-77.20963 39.154765)
MCG,Warehouse,ABS,"18323 Leaman Farm Road, Germantown, MD 20874",POINT (-77.279133 39.158465)
MCG,FRS,F&RS,"14935 B Southlawn Lane, Rockville, MD 20850",POINT (-77.135802 39.102532)
MCG,DLC,ABS,"10132 River Road, Potomac, MD 20854",POINT (-77.208412 39.017587)
MCG,REC,Clara Barton Rec Center,"7425 MacArthur Blvd, Cabin John, MD",POINT (-77.149823 38.972705)
MCG,FRS,F&RS,"13216 New Hampshire Avenue, Silver Spring, MD",
MCG,FRS,F&RS,"14935 A Southlawn Lane, Rockville, MD 20850",POINT (-77.135802 39.102532)
MCG,DLC,ABS,"15620 Old Columbia Pike, Burtonsville, MD 20866",POINT (-76.932908 39.111161)
MCG,DLC,ABS,"11301 Seven Locks Road, Potomac, MD 20854",POINT (-77.159328 39.041749)
MCG,FRS,F&RS,"9615 Darnestown Road, Rockville, MD 20850",POINT (-77.197944 39.093803)
MCG,DLC,ABS,"8706-B Flower Avenue, Silver Spring, MD 20901",POINT (-77.003666 38.998519)
MCG,HHS,HHS Dental Clinic & Offices,"1401 Rockville Pike, Rockville, MD, 20850",POINT (-77.128766 39.067396)
MCG,REC,White Oak Community Rec Center,"1700 April Lane, Silver Spring, Md",POINT (-76.977052 39.046674)
MCG,REC,Germantown Indoor Swim Center,"18000 Central Park Cir, Boyds, MD 20841",POINT (-77.30173 39.150091)
MCG,FRS,F&RS,"2400 Arcola Ave, Silver Spring, MD 20902",POINT (-77.050284 39.047149)
MCG,DLC,ABS,"300 North Washington Street, Rockville, MD 20850",POINT (-77.153717 39.08934)
MCG,DLC,ABS,"11239 New Hampshire Avenue, Silver Spring, MD 20904",POINT (-76.990786 39.040304)
MCG,REC,Potomac Community Center,"11315 Falls Road, Potomac, Md, 20854",POINT (-77.19248 39.041226)
MCG,MCPD,7Locks  Trailer,"1283 Seven Locks Road Rockville, MD 20854",POINT (-77.161121 39.065508)
MCG,FRS,F&RS,"6600 Wisconsin Ave, Bethesda, MD 20815",POINT (-77.090571 38.976785)
MCG,HHS,OHR  Stress Management,"2301 Research Blvd, Rockville, Md 20850",POINT (-77.18506 39.103444)
MCG,DLC,ABS,"14937E Shady Grove Road, Rockville, MD 20850",POINT (-77.192391 39.099172)
MCG,DLC,ABS,"3824 International Drive, Silver Spring, MD 20906",POINT (-77.075687 39.103688)
MCG,FRS,F&RS,"18910 Germantown Road, Germantown, MD 20874",POINT (-77.283632 39.161281)
MCG,FRS,F&RS,"22610 Gateway Center Drive, Clarksburg, Md",POINT (-77.280518 39.232423)
MCG,DLC,ABS,"11405 Georgia Avenue, Wheaton, MD 20902",POINT (-77.051765 39.041791)
MCG,DED/DEP,SWS Transfer Facility,"6001 Olney-Laytonsville Road, Laytonsville, MD",POINT (-77.121242 39.189907)
MCG,FRS,F&RS,"20633 Boland Farm Road, Germantown, MD 20876",
MCG,MCPD,3rd District Police Station,"1002 Milestone Dr, White Oak, MD 20904",POINT (-76.990422 39.044938)
MCG,DLC,ABS,"8715 Colesville Road, Silver Spring, MD 20910",POINT (-77.02668 38.998131)
MCG,DGS,"Highway Maintenance, Bldg #6","17000 Crabbs Branch Way, Rockville, MD",POINT (-77.171621 39.132977)
MCG,DPL,Rockville Library,"21 Maryland Avenue, Rockville, MD 20850",POINT (-77.151051 39.086578)
